"dataset","variable","status","value_domain","values","n_values","values_are_sample","full_list_size","value_source","value_source_url","confidence","rationale","evidence_quote","supersedes_rationale","research_file","enumerated"
"A&T","ALL_INDUSTRIES","guessed","Group Training Organisation industry coverage flag","[""Y: the Group Training Organisation places apprentices in this industry"",""N: it does not""]",2,FALSE,2,"NSW Government, 'Find a GTO in NSW' Group Training Organisation directory (industry coverage vocabulary)","https://www.nsw.gov.au/education-and-training/apprentices-and-trainees/employers/find-a-gto-nsw","high","This is one column in a wide reference table, code_employer_gto, keyed on EMPLOYERGUID with one row per Group Training Organisation; its 21 industry-named columns reproduce, one for one, the industry tag vocabulary used in the published GTO directory, in which 'All Industries' is a single selectable tag and a GTO carries many tags at once. A per-industry column over a multi-tag vocabulary is a membership flag, not a coded classification.","Automotive, Building and Construction, Communications, Community Services and Health, Finance, Insurance and Business Services","The earlier pass looked for an internal ADMS codeframe and found none, so marked the field typed missing. It did not ask the narrower question of what shape the field takes. The field is a flag, so a two-value domain is defensible even though the literal codes (Y/N versus 1/0) are not published.","findings-at.json",TRUE
"A&T","APPLICATIONSTATUSCODE","guessed","State Training Authority decision on the Training Contract","[""A: Approved"",""R: Rejected"",""P: Pending / lodged, awaiting decision"",""W: Withdrawn""]",4,FALSE,,"DEWR, Australian Apprenticeship Service Delivery Operating Guidelines (Appendix E, 2024-2026 Deed RFT)","https://tenders.api.employment.gov.au/v1/attachments/a32b1f1a-4536-ee11-bdf4-6045bd3d3254/3.%20Appendix%20E%20Draft%20Australian%20Apprenticeship%20Service%20Delivery%20Operating%20Guidelines.pdf","medium","The official description states the field records 'the STA decision to approve or reject the Training Contract', which fixes the two substantive outcomes. The departmental operating guidelines describe Training Contracts being lodged with the STA and then approved, and describe providers tracking the 'lodgment and status of the Training Contract', so a pending state exists between lodgement and decision. The letter codes are inferred, and a jurisdiction may hold additional outcomes.","lodgment and status of the Training Contract throughout the apprenticeship lifecycle","The earlier pass looked for an internal ADMS codeframe and found none, so marked the field typed missing. It did not ask the narrower question of what shape the field takes. The field's own description names two of the values.","findings-at.json",TRUE
"A&T","APPRENTICESHIPTYPE","guessed","Australian Apprenticeship type","[""1: Apprenticeship"",""2: Traineeship"",""3: Trainee Apprenticeship""]",3,FALSE,,"Approved Apprenticeship/Traineeship Training Contract, ACT Approved Form AF2006-518 (national Training Contract instrument), question 6 'Type of Apprenticeship/Traineeship'","https://www.legislation.act.gov.au/af/2006-518/20061223-31623/pdf/2006-518.pdf","medium","The official description says the type is set 'according to STA', and question 6 of the Training Contract is a jurisdiction-specific type question offering Apprenticeship, Traineeship and Trainee Apprenticeship. School-based and part-time status are carried by separate columns (SCHOOLBASEDAPPRENTICE, ATSCHOOLFLAG, EMPLOYMENTHOURS), so they are not values of this field. The category labels are published; the numbering is inferred, and a jurisdiction may add its own types.","Type of Apprenticeship/Traineeship: Apprenticeship, Traineeship, Trainee Apprenticeship","The earlier pass looked for an internal ADMS codeframe and found none, so marked the field typed missing. It did not ask the narrower question of what shape the field takes. The Training Contract publishes the type categories.","findings-at.json",TRUE
"A&T","ARTS_AND_ENTERTAINMENT","guessed","Group Training Organisation industry coverage flag","[""Y: the Group Training Organisation places apprentices in this industry"",""N: it does not""]",2,FALSE,2,"NSW Government, 'Find a GTO in NSW' Group Training Organisation directory (industry coverage vocabulary)","https://www.nsw.gov.au/education-and-training/apprentices-and-trainees/employers/find-a-gto-nsw","high","This is one column in a wide reference table, code_employer_gto, keyed on EMPLOYERGUID with one row per Group Training Organisation; its 21 industry-named columns reproduce, one for one, the industry tag vocabulary used in the published GTO directory, in which 'Arts and Entertainment' is a single selectable tag and a GTO carries many tags at once. A per-industry column over a multi-tag vocabulary is a membership flag, not a coded classification.","Automotive, Building and Construction, Communications, Community Services and Health, Finance, Insurance and Business Services","The earlier pass looked for an internal ADMS codeframe and found none, so marked the field typed missing. It did not ask the narrower question of what shape the field takes. The field is a flag, so a two-value domain is defensible even though the literal codes (Y/N versus 1/0) are not published.","findings-at.json",TRUE
"A&T","AUTOMOTIVE","guessed","Group Training Organisation industry coverage flag","[""Y: the Group Training Organisation places apprentices in this industry"",""N: it does not""]",2,FALSE,2,"NSW Government, 'Find a GTO in NSW' Group Training Organisation directory (industry coverage vocabulary)","https://www.nsw.gov.au/education-and-training/apprentices-and-trainees/employers/find-a-gto-nsw","high","This is one column in a wide reference table, code_employer_gto, keyed on EMPLOYERGUID with one row per Group Training Organisation; its 21 industry-named columns reproduce, one for one, the industry tag vocabulary used in the published GTO directory, in which 'Automotive' is a single selectable tag and a GTO carries many tags at once. A per-industry column over a multi-tag vocabulary is a membership flag, not a coded classification.","Automotive, Building and Construction, Communications, Community Services and Health, Finance, Insurance and Business Services","The earlier pass looked for an internal ADMS codeframe and found none, so marked the field typed missing. It did not ask the narrower question of what shape the field takes. The field is a flag, so a two-value domain is defensible even though the literal codes (Y/N versus 1/0) are not published.","findings-at.json",TRUE
"A&T","BASEQUALCODE","sourced","training.gov.au national training package qualification code","[]",0,TRUE,,"training.gov.au (National Register of VET), qualification component documents","https://training.gov.au/TrainingComponentFiles/CPC/CPC30220_R1.pdf","medium","BASEQUALCODE is the qualification on which the supersession relation is anchored. The sibling reference table code_qualification carries QUALCODE, QUALTITLE, QUALLEVEL, TPCODE, TPTITLE and FOECODE, which is the National Register (training.gov.au) qualification record, and code_qualification_supercedes / code_qualification_supercededby mirror the 'Qualification Mapping Information' table that training.gov.au publishes for every qualification. The domain is therefore the national training package qualification code: three or four uppercase letters naming the training package, then five digits, the first of which is the AQF level (for example CPC30220). Nationally accredited courses use the alternative form of four digits followed by 'NAT'. The listed codes were read off training.gov.au component documents; they are a sample of a register holding thousands of qualifications, and historic ADMS records may also carry pre-2001 state course codes.","CPC30220 Certificate III in Carpentry","The earlier pass looked for an internal ADMS codeframe and found none, so marked the field typed missing. It did not ask the narrower question of what shape the field takes. training.gov.au is the published National Register and does publish these codes; only the subset of them held in ADMS is unpublished.","findings-at.json",FALSE
"A&T","BUILDING_AND_CONSTRUCTION","guessed","Group Training Organisation industry coverage flag","[""Y: the Group Training Organisation places apprentices in this industry"",""N: it does not""]",2,FALSE,2,"NSW Government, 'Find a GTO in NSW' Group Training Organisation directory (industry coverage vocabulary)","https://www.nsw.gov.au/education-and-training/apprentices-and-trainees/employers/find-a-gto-nsw","high","This is one column in a wide reference table, code_employer_gto, keyed on EMPLOYERGUID with one row per Group Training Organisation; its 21 industry-named columns reproduce, one for one, the industry tag vocabulary used in the published GTO directory, in which 'Building and Construction' is a single selectable tag and a GTO carries many tags at once. A per-industry column over a multi-tag vocabulary is a membership flag, not a coded classification.","Automotive, Building and Construction, Communications, Community Services and Health, Finance, Insurance and Business Services","The earlier pass looked for an internal ADMS codeframe and found none, so marked the field typed missing. It did not ask the narrower question of what shape the field takes. The field is a flag, so a two-value domain is defensible even though the literal codes (Y/N versus 1/0) are not published.","findings-at.json",TRUE
"A&T","BUSINESSRELATIONSHIP","guessed","Type of business relationship between the apprentice and the employer","[]",0,TRUE,,"Approved Apprenticeship/Traineeship Training Contract, ACT Approved Form AF2006-518 (national Training Contract instrument), question 41","https://www.legislation.act.gov.au/af/2006-518/20061223-31623/pdf/2006-518.pdf","medium","Question 41 of the Training Contract asks whether the apprentice is in a business relationship with the employer and, if so, for the 'Type of business relationship', naming partnership, director and franchise arrangement as the examples and excluding family trusts. The trainingcontract table carries the yes/no part separately as EXISTINGBUSINESSRELASIONFLAG, so BUSINESSRELATIONSHIP is the type. The form takes free text, so the listed values are the published examples rather than a closed code list.","Examples include partnership, director or franchise arrangement - family trusts excluded.","The earlier pass looked for an internal ADMS codeframe and found none, so marked the field typed missing. It did not ask the narrower question of what shape the field takes. The Training Contract names the relationship types it collects.","findings-at.json",FALSE
"A&T","CITIZENSHIPCODE","guessed","Apprentice citizenship or residency status","[""1: Australian citizen or permanent resident"",""2: New Zealand passport holder resident in Australia for 6 months or more"",""3: Other (visa holder)""]",3,FALSE,3,"Approved Apprenticeship/Traineeship Training Contract, ACT Approved Form AF2006-518 (national Training Contract instrument), question 13 'Citizenship'","https://www.legislation.act.gov.au/af/2006-518/20061223-31623/pdf/2006-518.pdf","medium","The Training Contract is the collection instrument behind this dataset, and its question 13, headed 'Citizenship', offers exactly three tick boxes; the categories exist because they set eligibility for Commonwealth apprenticeship incentives. AVETMISS does not define a citizenship element, so the Training Contract is the right authority. The three category labels are published; the numbering used here is inferred, not published.","Citizenship (Tick applicable box): Australian citizen or permanent resident","The earlier pass looked for an internal ADMS codeframe and found none, so marked the field typed missing. It did not ask the narrower question of what shape the field takes. The earlier pass searched AVETMISS, which has no citizenship element, rather than the Training Contract form that actually collects the field.","findings-at.json",TRUE
"A&T","COMMENCEMENTTYPECODE","guessed","Type of apprenticeship commencement activity","[""C: Commencement"",""R: Recommencement""]",2,FALSE,,"DEWR, Australian Apprenticeship Service Delivery Operating Guidelines (Appendix E, 2024-2026 Deed RFT); Approved Apprenticeship/Traineeship Training Contract, ACT Approved Form AF2006-518 (national Training Contract instrument)","https://tenders.api.employment.gov.au/v1/attachments/a32b1f1a-4536-ee11-bdf4-6045bd3d3254/3.%20Appendix%20E%20Draft%20Australian%20Apprenticeship%20Service%20Delivery%20Operating%20Guidelines.pdf","medium","Commonwealth apprenticeship administration draws one primary distinction at the start of an activity: a commencement, where the apprentice starts a Training Contract, and a recommencement, defined in the departmental guidelines as an apprentice continuing an existing STA-approved Training Contract with a new employer. The Training Contract's incentives section names the same pair. The field sits on activity_ledger, which records these events. The letter codes are inferred.","These Incentives can include Commencement, Recommencement, Completion and other special incentives.","The earlier pass looked for an internal ADMS codeframe and found none, so marked the field typed missing. It did not ask the narrower question of what shape the field takes. The commencement/recommencement distinction is published by DEWR.","findings-at.json",TRUE
